trading_day,symbol,close
2018-07-02,42466437,569.9044736339929
2018-07-02,43288639,114.67766199435552
2018-07-02,433925519,53.91216207335669
2018-07-02,44206715,155.63323535619804
2018-07-02,46639515,1018.7369303299403
2018-07-02,46875426,187.79716438974071
2018-07-02,49031555,54.84
2018-07-02,49031557,51.16
2018-07-02,54414164,108.13
2018-07-02,555183873,275.56684720988153
2018-07-02,567220111,138.07216631449944
2018-07-02,61607269,300.48533632238934
2018-07-02,7221435,254
2018-07-02,7727372,957.3176848663425
2018-07-02,7958704,68.57928896359289
2018-07-02,79599893,102.1400127229386
2018-07-02,8911553,132.09154000060357
2018-07-02,2663001,211.47415454915125
2018-07-02,2663029,172.10218864415916
2018-07-02,2663221,117.01482428654226
2018-07-02,2663245,78.46433238929902
2018-07-02,2663453,128.95525306804538
2018-07-02,2663487,387.56
2018-07-02,2663719,184.55651713068326
2018-07-02,2664029,90.15300735248411
2018-07-02,2664273,164.61067807187467
2018-07-02,2664299,229.30799743936288
2018-07-02,2664435,58.66702010988314
2018-07-02,2664698,236.36422495697715
2018-07-02,2665161,105.31432163403367
2018-07-02,2665189,89.13970186404157
2018-07-02,2665259,10.9031256129942
2018-07-02,2665479,516.4914371702309
2018-07-02,2665650,118.57487088452228
2018-07-02,2665666,67.88565167863005
2018-07-02,2665845,208.7465367224948
2018-07-02,2665959,302.05021936949584
2018-07-02,2665987,193.78217450895727
2018-07-02,2666035,291.7225655349853
2018-07-02,2666882,138.97684230382143
2018-07-02,268204083,35.05393444924285
2018-07-02,270099932,112.94755777937762
2018-07-02,27143898,245.19556884119132
2018-07-02,271822113,42.13150648658194
2018-07-02,272348991,127.28191236193581
2018-07-02,272601064,40.05
2018-07-02,281970741,89.30304702373233
2018-07-02,283454303,15.567415168557453
2018-07-02,28674508,97.28025687275145
2018-07-02,29198370,26.065080190387963
2018-07-02,292167444,83.89
2018-07-02,302129421,68.55300203077378
2018-07-02,303054011,35.343372920742326
2018-07-02,304206311,182.04187029339158
2018-07-02,30686620,224.81755305867668
2018-07-02,309921702,23.64715738122986
2018-07-02,3103750,147.48
2018-07-02,317560688,85.48086675950866
2018-07-02,3182730,104.11470297604345
2018-07-02,328470033,77.43936362138244
2018-07-02,328574181,21.3001227
2018-07-02,33345226,148.04984836145223
2018-07-02,33872783,190.4484209691674
2018-07-02,34058430,53.61532948843613
2018-07-02,3449503,259.02083262095897
2018-07-02,34918877,114.60526433049496
2018-07-02,34969488,83.51179673438268
2018-07-02,35369904,79.47924930454593
2018-07-02,36101502,135.39
2018-07-02,36789426,1273.1968635238122
2018-07-02,36842460,71.76206889655613
2018-07-02,372277276,320.50321161795006
2018-07-02,3809414,92.67121912985198
2018-07-02,383332718,376.8014087035127
2018-07-02,38569113,235.11319907048798
2018-07-02,38985642,175.1688088716614
2018-07-02,39304868,90.01951006963971
2018-07-02,403901466,66.42
2018-07-02,405201255,184.374144
2018-07-02,409474139,514.5354691855019
2018-07-02,410444413,40.78
2018-07-02,413835549,31.071833224150872
2018-07-02,415067762,265.753422
